Species,X,Y,Response
Crotalus triseriatus,-99.317611,19.308771,1
Crotalus triseriatus,-98.6591,19.200706,1
Crotalus triseriatus,-98.673288,19.194508,1
Crotalus triseriatus,-99.123595,19.15655,1
Crotalus triseriatus,-99.693352,19.409738,1
Crotalus triseriatus,-99.53053,19.221676,1
Crotalus triseriatus,-99.315353,19.256287,1
Crotalus triseriatus,-99.693754,19.408283,1
Crotalus triseriatus,-98.652368,19.255044,1
Crotalus triseriatus,-98.639642,19.263655,1
Crotalus triseriatus,-99.299238,19.295795,1
Crotalus triseriatus,-99.242358,19.251716,1
Crotalus triseriatus,-97.274597,19.072022,1
Crotalus triseriatus,-97.274611,19.071997,1
Crotalus triseriatus,-99.215811,19.149712,1
Crotalus triseriatus,-97.15573,19.50158,1
Crotalus triseriatus,-99.991439,19.235508,1
Crotalus triseriatus,-99.312258,19.316092,1
Crotalus triseriatus,-99.260942,19.208242,1
Crotalus triseriatus,-99.715437,19.247268,1
Crotalus triseriatus,-99.319595,19.058089,1
Crotalus triseriatus,-99.557897,19.247155,1
Crotalus triseriatus,-99.597942,19.19499,1
Crotalus triseriatus,-99.932613,19.225663,1
Crotalus triseriatus,-99.250287,19.060522,1
Crotalus triseriatus,-99.329262,19.290608,1
Crotalus triseriatus,-99.31495,19.256887,1
Crotalus triseriatus,-99.293595,19.240212,1
Crotalus triseriatus,-99.774328,19.238036,1
Crotalus triseriatus,-99.774307,19.238039,1
Crotalus triseriatus,-97.992499,19.23743,1
Crotalus triseriatus,-99.239505,19.174353,1
Crotalus triseriatus,-97.363334,19.717449,1
Crotalus triseriatus,-99.382885,19.306024,1
Crotalus triseriatus,-99.311693,19.314942,1
Crotalus triseriatus,-99.314342,19.296046,1
Crotalus triseriatus,-99.295838,19.21884,1
Crotalus triseriatus,-99.333333,19.266667,1
Crotalus triseriatus,-99.296922,19.296283,1
Crotalus triseriatus,-100.179964,19.751444,1
Crotalus triseriatus,-99.215651,19.258876,1
Crotalus triseriatus,-99.970197,19.296181,1
Crotalus triseriatus,-99.265693,19.259304,1
Crotalus triseriatus,-100.268546,19.661722,1
Crotalus triseriatus,-99.279058,19.221855,1
Crotalus triseriatus,-99.254083,19.218626,1
Crotalus triseriatus,-99.276628,19.220972,1
Crotalus triseriatus,-99.229722,19.188889,1
Crotalus triseriatus,-99.295775,19.29745,1
Crotalus triseriatus,-99.947592,19.2212,1
Crotalus triseriatus,-99.892311,19.018431,1
Crotalus triseriatus,-97.230745,18.998162,1
Crotalus triseriatus,-99.216873,19.253065,1
Crotalus triseriatus,-98.601813,19.097575,1
Crotalus triseriatus,-99.240391,19.256982,1
Crotalus triseriatus,-99.28775,19.216868,1
Crotalus triseriatus,-99.21385,19.116941,1
Crotalus triseriatus,-99.290989,19.26413,1
Crotalus triseriatus,-99.69464,19.407755,1
Crotalus triseriatus,-97.262614,19.068471,1
Crotalus triseriatus,-99.521431,19.533056,1
Crotalus triseriatus,-99.292725,19.308626,1
Crotalus triseriatus,-99.218892,19.245158,1
Crotalus triseriatus,-99.333678,19.287528,1
Crotalus triseriatus,-99.298618,19.300456,1
Crotalus triseriatus,-99.310903,19.223115,1
Crotalus triseriatus,-100.284904,19.660975,1
Crotalus triseriatus,-99.294786,19.266586,1
Crotalus triseriatus,-99.1538,19.148673,1
Crotalus triseriatus,-98.623798,19.298881,1
Crotalus triseriatus,-99.587917,19.576911,1
Crotalus triseriatus,-99.69147,19.407459,1
Crotalus triseriatus,-98.650755,19.19907,1
Crotalus triseriatus,-99.256615,19.247315,1
Crotalus triseriatus,-99.257243,19.248893,1
Crotalus triseriatus,-99.524879,19.541622,1
Crotalus triseriatus,-99.268349,19.223957,1
Crotalus triseriatus,-98.68276,19.065302,1
Crotalus triseriatus,-99.274468,19.222938,1
Crotalus triseriatus,-99.960986,19.212186,1
Crotalus triseriatus,-97.52636,19.716385,1
Crotalus triseriatus,-99.960986,19.212186,1
