Species,X,Y,Response
Thamnophis scalaris,-98.805246,19.111314,1
Thamnophis scalaris,-98.540193,19.243029,1
Thamnophis scalaris,-99.588007,19.248027,1
Thamnophis scalaris,-99.432419,19.569234,1
Thamnophis scalaris,-98.805255,19.111298,1
Thamnophis scalaris,-99.906604,18.875266,1
Thamnophis scalaris,-99.316632,19.048305,1
Thamnophis scalaris,-99.282798,19.320848,1
Thamnophis scalaris,-97.990638,19.24422,1
Thamnophis scalaris,-99.250303,19.060557,1
Thamnophis scalaris,-98.060742,19.493151,1
Thamnophis scalaris,-98.804955,19.111558,1
Thamnophis scalaris,-99.787867,19.225692,1
Thamnophis scalaris,-99.315928,19.287798,1
Thamnophis scalaris,-99.18035,19.224862,1
Thamnophis scalaris,-99.282102,19.21515,1
Thamnophis scalaris,-99.54979,19.376054,1
Thamnophis scalaris,-99.969414,19.297153,1
Thamnophis scalaris,-99.28835,19.320187,1
Thamnophis scalaris,-99.10361,19.158232,1
Thamnophis scalaris,-99.41065,19.561916,1
Thamnophis scalaris,-98.32817,19.024786,1
Thamnophis scalaris,-98.216945,19.331019,1
Thamnophis scalaris,-98.805087,19.111669,1
Thamnophis scalaris,-99.193565,19.320763,1
Thamnophis scalaris,-99.286858,19.304532,1
Thamnophis scalaris,-97.913539,19.227305,1
Thamnophis scalaris,-99.220413,19.249125,1
Thamnophis scalaris,-103.625045,20.093771,1
Thamnophis scalaris,-98.097516,19.451766,1
Thamnophis scalaris,-99.745041,19.336983,1
Thamnophis scalaris,-99.271546,19.226623,1
Thamnophis scalaris,-99.713322,19.226325,1
Thamnophis scalaris,-100.339896,19.721261,1
Thamnophis scalaris,-99.489477,19.63849,1
Thamnophis scalaris,-97.179717,19.461522,1
Thamnophis scalaris,-99.196908,19.209178,1
Thamnophis scalaris,-99.316909,19.055992,1
Thamnophis scalaris,-99.114218,19.184954,1
Thamnophis scalaris,-99.508983,19.573353,1
Thamnophis scalaris,-99.637776,19.301304,1
Thamnophis scalaris,-98.804936,19.111356,1
Thamnophis scalaris,-98.54721,19.617499,1
Thamnophis scalaris,-99.695738,19.273201,1
Thamnophis scalaris,-98.528171,19.592997,1
Thamnophis scalaris,-99.602844,19.088132,1
Thamnophis scalaris,-97.213369,19.089983,1
Thamnophis scalaris,-99.259504,19.219761,1
Thamnophis scalaris,-99.221747,19.124408,1
Thamnophis scalaris,-99.259059,19.210248,1
Thamnophis scalaris,-99.698358,19.273599,1
Thamnophis scalaris,-97.990683,19.24436,1
Thamnophis scalaris,-99.578712,19.249685,1
Thamnophis scalaris,-99.373403,19.294475,1
Thamnophis scalaris,-99.692486,19.513701,1
Thamnophis scalaris,-99.600941,19.476204,1
Thamnophis scalaris,-100.077858,19.092822,1
Thamnophis scalaris,-97.26487,19.132575,1
Thamnophis scalaris,-99.317955,19.248342,1
Thamnophis scalaris,-98.046587,19.367271,1
Thamnophis scalaris,-99.280377,19.31937,1
Thamnophis scalaris,-99.256018,19.214673,1
Thamnophis scalaris,-99.6886,19.40943,1
Thamnophis scalaris,-99.695983,19.413162,1
Thamnophis scalaris,-98.804529,19.111348,1
Thamnophis scalaris,-98.33906,19.475323,1
Thamnophis scalaris,-97.10099,19.645491,1
Thamnophis scalaris,-99.58553,19.245982,1
Thamnophis scalaris,-99.224272,19.253143,1
Thamnophis scalaris,-98.660217,19.090811,1
Thamnophis scalaris,-99.280747,19.319298,1
Thamnophis scalaris,-99.266463,19.224022,1
Thamnophis scalaris,-99.933151,19.238729,1
Thamnophis scalaris,-98.532876,19.257193,1
Thamnophis scalaris,-98.795357,19.483603,1
Thamnophis scalaris,-99.216475,19.248007,1
Thamnophis scalaris,-99.213902,19.245325,1
Thamnophis scalaris,-99.936256,19.222342,1
Thamnophis scalaris,-99.256018,19.214673,1
Thamnophis scalaris,-99.689142,19.409458,1
Thamnophis scalaris,-99.20887,19.257061,1
Thamnophis scalaris,-99.292261,19.230995,1
Thamnophis scalaris,-99.695337,19.274697,1
Thamnophis scalaris,-99.286516,19.232632,1
Thamnophis scalaris,-98.051583,19.607758,1
Thamnophis scalaris,-97.107261,19.619663,1
Thamnophis scalaris,-99.912183,19.215928,1
Thamnophis scalaris,-97.158639,19.5148,1
Thamnophis scalaris,-98.591751,19.147585,1
Thamnophis scalaris,-97.111458,19.614922,1
Thamnophis scalaris,-99.461927,19.311997,1
Thamnophis scalaris,-99.176185,19.222984,1
Thamnophis scalaris,-99.284575,19.21699,1
Thamnophis scalaris,-99.802441,19.850759,1
Thamnophis scalaris,-99.288495,19.229931,1
Thamnophis scalaris,-99.176751,19.22552,1
Thamnophis scalaris,-99.240328,19.162244,1
Thamnophis scalaris,-99.176676,19.218923,1
Thamnophis scalaris,-99.646351,19.20393,1
Thamnophis scalaris,-99.277695,19.219533,1
Thamnophis scalaris,-99.346249,19.194599,1
Thamnophis scalaris,-99.281397,19.323097,1
Thamnophis scalaris,-99.281413,19.323039,1
Thamnophis scalaris,-97.468844,19.696266,1
Thamnophis scalaris,-99.292941,19.2212,1
Thamnophis scalaris,-99.459694,19.201324,1
Thamnophis scalaris,-99.242678,19.161971,1
Thamnophis scalaris,-99.250558,19.217517,1
Thamnophis scalaris,-99.39939,19.475378,1
Thamnophis scalaris,-101.892173,19.558651,1
Thamnophis scalaris,-103.684555,20.032715,1
Thamnophis scalaris,-99.107147,19.135701,1
Thamnophis scalaris,-99.227202,19.170385,1
Thamnophis scalaris,-99.736694,19.443407,1
Thamnophis scalaris,-99.939864,19.223086,1
Thamnophis scalaris,-99.736699,19.44334,1
Thamnophis scalaris,-99.565375,19.255547,1
Thamnophis scalaris,-99.736652,19.443374,1
Thamnophis scalaris,-99.326025,19.404694,1
Thamnophis scalaris,-99.692789,19.301528,1
Thamnophis scalaris,-98.784637,19.168405,1
Thamnophis scalaris,-99.292058,19.230288,1
Thamnophis scalaris,-99.159142,19.106062,1
Thamnophis scalaris,-99.311546,19.351088,1
Thamnophis scalaris,-99.695983,19.406064,1
Thamnophis scalaris,-99.326942,19.40989,1
Thamnophis scalaris,-99.311796,19.369284,1
Thamnophis scalaris,-99.623087,19.239562,1
Thamnophis scalaris,-99.348847,19.347641,1
Thamnophis scalaris,-99.572053,19.253191,1
Thamnophis scalaris,-99.501956,19.292689,1
Thamnophis scalaris,-99.470519,19.529807,1
Thamnophis scalaris,-98.654337,19.094386,1
Thamnophis scalaris,-98.710754,19.332615,1
Thamnophis scalaris,-99.173188,19.221208,1
Thamnophis scalaris,-99.178438,19.222033,1
Thamnophis scalaris,-99.569581,19.255469,1
Thamnophis scalaris,-98.647414,19.086361,1
Thamnophis scalaris,-99.162734,19.116841,1
Thamnophis scalaris,-99.175761,19.150759,1
Thamnophis scalaris,-99.597065,19.235263,1
Thamnophis scalaris,-99.216877,19.249962,1
Thamnophis scalaris,-99.281981,19.32198,1
Thamnophis scalaris,-99.282281,19.31083,1
Thamnophis scalaris,-99.317453,19.250013,1
Thamnophis scalaris,-99.282717,19.320958,1
Thamnophis scalaris,-99.217853,19.246976,1
Thamnophis scalaris,-99.184698,19.231943,1
Thamnophis scalaris,-99.713251,19.226131,1
Thamnophis scalaris,-99.32347,19.345763,1
Thamnophis scalaris,-98.966287,19.157024,1
Thamnophis scalaris,-99.3997,19.318617,1
Thamnophis scalaris,-99.399813,19.318857,1
Thamnophis scalaris,-99.602589,19.236575,1
Thamnophis scalaris,-99.281693,19.264231,1
Thamnophis scalaris,-97.263535,19.083236,1
Thamnophis scalaris,-99.310744,19.272975,1
Thamnophis scalaris,-99.186616,19.227688,1
Thamnophis scalaris,-99.401722,19.319804,1
Thamnophis scalaris,-99.316321,19.062484,1
Thamnophis scalaris,-99.216146,19.204811,1
Thamnophis scalaris,-99.60141,19.465779,1
Thamnophis scalaris,-97.161069,19.52416,1
Thamnophis scalaris,-98.805128,19.111518,1
Thamnophis scalaris,-99.262506,19.290359,1
Thamnophis scalaris,-99.401722,19.319804,1
Thamnophis scalaris,-97.10573,19.620996,1
Thamnophis scalaris,-99.283356,19.215376,1
Thamnophis scalaris,-98.108903,19.611922,1
Thamnophis scalaris,-99.700301,19.310551,1
Thamnophis scalaris,-99.216721,19.20607,1
Thamnophis scalaris,-99.271013,19.206091,1
Thamnophis scalaris,-98.210255,19.31695,1
Thamnophis scalaris,-99.277481,19.319768,1
Thamnophis scalaris,-99.60597,19.235865,1
Thamnophis scalaris,-103.703225,20.115308,1
Thamnophis scalaris,-99.18601,19.223648,1
Thamnophis scalaris,-99.712374,19.282571,1
Thamnophis scalaris,-99.504952,19.683804,1
Thamnophis scalaris,-99.736506,19.368885,1
Thamnophis scalaris,-99.514918,19.646808,1
Thamnophis scalaris,-99.514924,19.646798,1
Thamnophis scalaris,-99.514934,19.646823,1
Thamnophis scalaris,-99.51479,19.647045,1
Thamnophis scalaris,-99.425217,19.146158,1
Thamnophis scalaris,-99.511498,19.650935,1
Thamnophis scalaris,-99.434841,19.372134,1
Thamnophis scalaris,-99.548944,19.170603,1
Thamnophis scalaris,-98.213718,19.330902,1
Thamnophis scalaris,-99.714504,19.226361,1
Thamnophis scalaris,-98.213707,19.33087,1
Thamnophis scalaris,-99.216736,19.20533,1
Thamnophis scalaris,-98.665448,19.360243,1
Thamnophis scalaris,-99.218967,19.206014,1
Thamnophis scalaris,-99.995578,19.195493,1
Thamnophis scalaris,-99.364932,19.304077,1
Thamnophis scalaris,-98.966425,19.215299,1
Thamnophis scalaris,-99.702523,19.272044,1
Thamnophis scalaris,-99.270759,19.050777,1
Thamnophis scalaris,-98.562196,19.464443,1
Thamnophis scalaris,-98.219754,19.299805,1
Thamnophis scalaris,-97.105835,19.620417,1
Thamnophis scalaris,-100.043692,19.171582,1
Thamnophis scalaris,-100.043692,19.171582,1
Thamnophis scalaris,-99.217178,19.20578,1
Thamnophis scalaris,-99.579832,19.247956,1
Thamnophis scalaris,-99.238986,19.087739,1
Thamnophis scalaris,-98.760088,19.466253,1
Thamnophis scalaris,-98.724704,19.39394,1
Thamnophis scalaris,-99.710154,19.803518,1
